index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
541,170784,229.0,21499,慕和南道,天府新区,3室2厅1厨2卫,中楼层 (共26层),106.52㎡,平层,板塔结合,东,钢混结构,精装,两梯四户,有,2022,6,6
542,170784,81.8,9448,东原城,温江,3室2厅1厨1卫,高楼层 (共34层),86.58㎡,平层,板塔结合,东北,钢混结构,毛坯,两梯六户,有,2022,6,3
543,170784,179.0,23501,鑫苑鑫都汇南区,天府新区,3室2厅1厨1卫,低楼层 (共31层),76.17㎡,平层,板塔结合,北,钢混结构,精装,两梯六户,有,2022,6,2
544,170784,144.8,16187,橙郡二期,高新西,3室2厅1厨1卫,高楼层 (共17层),89.46㎡,平层,板塔结合,西南,钢混结构,精装,两梯六户,有,2022,6,3
545,170784,135.0,15056,恒大新城一期,温江,3室2厅1厨1卫,中楼层 (共32层),89.67㎡,平层,板塔结合,东南,钢混结构,精装,两梯四户,有,2022,6,14
546,170784,319.0,26228,龙湖上城天街广场,金牛,4室2厅1厨2卫,高楼层 (共33层),121.63㎡,平层,塔楼,西南,钢混结构,毛坯,三梯九户,有,2022,6,6
547,170784,145.0,14346,温哥华花园六期,双流,3室1厅1厨2卫,低楼层 (共16层),101.08㎡,平层,塔楼,南,框架结构,精装,两梯六户,有,2022,6,7
548,170784,95.0,11201,通济苑,天府新区,3室2厅1厨1卫,中楼层 (共6层),84.82㎡,平层,暂无数据,东,未知结构,精装,一梯四户,无,2022,6,14
549,170784,186.0,23175,华汇天地,双流,3室1厅1厨1卫,高楼层 (共32层),80.26㎡,平层,板塔结合,北,框架结构,精装,两梯五户,有,2022,6,9
550,170784,305.0,34794,乐天圣苑,锦江,3室1厅1厨2卫,中楼层 (共32层),87.66㎡,平层,板塔结合,西南,钢混结构,精装,两梯四户,有,2022,6,5
551,170784,245.0,23343,万科海悦汇城西区,天府新区,3室2厅1厨2卫,中楼层 (共44层),104.96㎡,平层,板塔结合,东南,钢混结构,精装,六梯七户,有,2022,6,8
552,170784,99.0,13827,上置雅宾利,郫都,3室2厅1厨1卫,高楼层 (共24层),71.6㎡,平层,板塔结合,东南,钢混结构,精装,两梯五户,有,2022,6,12
553,170784,136.0,15191,恒大新城一期,温江,3室2厅1厨1卫,低楼层 (共33层),89.53㎡,平层,板塔结合,东南,钢混结构,精装,两梯四户,有,2022,6,12
554,170784,85.0,9477,交大花园南苑,武侯,3室1厅1厨1卫,中楼层 (共7层),89.7㎡,平层,板楼,东,混合结构,简装,一梯四户,无,2022,6,11
555,170784,265.0,30053,华熙528艺术村锦都,锦江,3室2厅1厨1卫,中楼层 (共28层),88.18㎡,平层,塔楼,西南,钢混结构,精装,三梯五户,有,2022,6,16
