index,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
92,480.0,26082,麓山国际云堤曦岸,天府新区,3室1厅1厨2卫,高楼层 (共32层),184.04㎡,平层,塔楼,东北,钢混结构,毛坯,三梯六户,有,2022,7,8
89,145.0,17136,友盛上都,新都,3室1厅1厨2卫,高楼层 (共34层),84.62㎡,平层,塔楼,东南,钢混结构,其他,两梯六户,有,2022,7,8
29,53.0,4155,长江东路26号,彭州,3室2厅1厨2卫,高楼层 (共6层),127.57㎡,平层,塔楼,东南,混合结构,其他,一梯两户,暂无数据,2022,7,8
50,120.0,10224,恒大银海湖,崇州,3室2厅1厨2卫,中楼层 (共10层),117.38㎡,平层,暂无数据,南,未知结构,精装,一梯一户,暂无数据,2022,7,8
115,158.0,19323,成都后花园蝶院,郫都,3室1厅1厨2卫,高楼层 (共25层),81.77㎡,暂无数据,塔楼,北,钢混结构,其他,两梯五户,有,2022,7,8
82,46.0,10095,交大智能六期,金牛,1室1厅1厨1卫,中楼层 (共7层),45.57㎡,暂无数据,板楼,南,砖混结构,其他,一梯十二户,无,2022,7,8
62,628.0,24489,嘉年华国际社区,高新,4室2厅1厨3卫,高楼层 (共29层),256.45㎡,平层,板楼,东南 西北,钢混结构,精装,三梯两户,有,2022,7,8
103,155.0,17416,清溪雅筑,青羊,3室2厅1厨1卫,低楼层 (共18层),89㎡,暂无数据,塔楼,东,钢混结构,精装,两梯七户,有,2022,7,8
4,142.0,16082,世茂城一期,龙泉驿,2室2厅1厨1卫,低楼层 (共32层),88.3㎡,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022,7,8
8,88.0,17919,伊顿社区,武侯,1室1厅1厨1卫,低楼层 (共20层),49.11㎡,平层,板楼,南,框架结构,简装,三梯二十户,有,2022,7,8
9,62.0,5536,和裕印象,金堂,3室2厅1厨2卫,低楼层 (共26层),112㎡,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯六户,有,2022,7,8
19,275.0,21187,中海右岸一期,双流,4室1厅1厨2卫,低楼层 (共33层),129.8㎡,平层,塔楼,西南,砖混结构,其他,两梯五户,有,2022,7,8
3,165.0,21228,维港,武侯,2室1厅1厨1卫,低楼层 (共18层),77.73㎡,平层,塔楼,东南,框架结构,其他,三梯十四户,有,2022,7,8
37,100.0,7983,嘉裕第六洲龙泽台,崇州,3室2厅1厨2卫,低楼层 (共9层),125.28㎡,暂无数据,板塔结合,南,框架结构,其他,一梯两户,有,2022,7,8
90,46.5,9850,金地天府城公寓,高新,1室1厅1厨1卫,中楼层 (共32层),47.21㎡,暂无数据,板塔结合,西,框架结构,其他,六梯二十九户,有,2022,7,8
104,90.0,17538,南桥视窗,青羊,2室1厅1厨1卫,低楼层 (共19层),51.32㎡,暂无数据,塔楼,北,框架结构,其他,四梯三十七户,有,2022,7,8
