index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
9968,171098.0,105.0,9802.0,今日花园,郫都,3室1厅1厨2卫,高楼层 (共6层),107.13㎡,平层,板塔结合,东南,砖混结构,其他,一梯两户,无,2022,7,2.0
10249,171090.0,98.0,13768.0,辉煌佳苑,锦江,2室1厅1厨1卫,中楼层 (共6层),71.18㎡,平层,板楼,西北,砖混结构,简装,一梯两户,无,2022,7,1.0
10303,171120.0,140.0,17706.0,天府逸家一期,龙泉驿,2室2厅1厨1卫,中楼层 (共41层),79.07㎡,平层,板塔结合,北,钢混结构,精装,两梯六户,有,2022,7,1.0
10445,171090.0,127.0,12899.0,招商依云上城,龙泉驿,3室1厅1厨1卫,低楼层 (共40层),98.46㎡,平层,塔楼,南,钢混结构,其他,三梯六户,有,2022,7,1.0
10453,171090.0,139.0,15455.0,中国铁建国际城,龙泉驿,3室2厅1厨1卫,高楼层 (共34层),89.94㎡,平层,板塔结合,东北,钢混结构,精装,两梯六户,有,2022,6,30.0
10761,171090.0,100.0,17810.0,新时空公寓,武侯,1室1厅1厨1卫,中楼层 (共10层),56.15㎡,平层,板楼,东,框架结构,其他,三梯二十四户,有,2022,6,28.0
11310,171090.0,76.0,15587.0,洲际亚洲湾B区,温江,1室1厅1厨1卫,高楼层 (共29层),48.76㎡,平层,板塔结合,西北,钢混结构,其他,三梯十一户,有,2022,7,3.0
11470,171120.0,215.0,24391.0,楠香山,高新,3室2厅1厨1卫,高楼层 (共27层),88.15㎡,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,2022,6,30.0
11547,171098.0,170.0,20742.0,成都A区,武侯,2室1厅1厨1卫,高楼层 (共20层),81.96㎡,暂无数据,板塔结合,西北,钢混结构,其他,两梯九户,有,2022,7,3.0
11921,171090.0,30.0,7202.0,双楠格调,武侯,1室1厅1厨1卫,高楼层 (共13层),41.66㎡,暂无数据,塔楼,南,框架结构,其他,四梯四十七户,有,2022,6,30.0
6144,5521.0,99.6,11192.0,今日润嶺,金堂,3室2厅1厨1卫,低楼层 (共10层),89㎡,暂无数据,暂无数据,东南,未知结构,精装,一梯四户,暂无数据,2022,7,5.0
6249,5521.0,203.0,23069.0,金地天府城,高新,3室2厅1厨1卫,低楼层 (共39层),88㎡,暂无数据,塔楼,南,钢混结构,其他,六梯八户,有,2022,7,5.0
6352,5520.0,185.5,20897.0,蓝光COCO时代,成华,3室1厅1厨2卫,低楼层 (共34层),88.77㎡,平层,板塔结合,西北,钢混结构,其他,三梯七户,有,2022,7,5.0
6759,5523.0,52.8,4699.0,江安东一街7号,都江堰,3室1厅1厨1卫,中楼层 (共6层),112.38㎡,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022,7,4.0
7920,5534.0,168.0,18928.0,金科天宸,温江,3室2厅1厨2卫,高楼层 (共33层),88.76㎡,暂无数据,塔楼,东南,钢混结构,其他,两梯六户,有,2022,7,2.0
7989,5534.0,110.0,12357.0,天晨花溪碧,新都,3室1厅1厨1卫,高楼层 (共18层),89.02㎡,平层,板塔结合,东,钢混结构,简装,两梯六户,有,2022,7,2.0
8301,5534.0,388.0,25282.0,合能枫丹铂麓三期,天府新区,4室2厅1厨3卫,低楼层 (共6层),153.47㎡,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,2022,7,2.0
8399,5535.0,200.0,16403.0,保利狮子湖,新都,3室2厅1厨2卫,中楼层 (共8层),121.93㎡,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2022,7,2.0
8439,5535.0,90.0,6206.0,西安路一段142号,双流,4室2厅1厨2卫,中楼层 (共6层),145.03㎡,平层,板楼,东北,未知结构,其他,一梯两户,暂无数据,2022,7,2.0
8703,5536.0,42.7,3996.0,情芳花木小区,金堂,3室2厅1厨2卫,高楼层 (共6层),106.88㎡,暂无数据,暂无数据,南,未知结构,简装,一梯四户,暂无数据,2022,7,1.0
8808,5536.0,128.0,13062.0,招商依云上城,龙泉驿,3室2厅1厨2卫,低楼层 (共40层),98㎡,平层,板塔结合,东,钢混结构,其他,一梯六户,无,2022,7,1.0
8905,5541.0,215.0,23969.0,中德麓府,天府新区,3室2厅1厨1卫,中楼层 (共32层),89.7㎡,平层,塔楼,北,钢混结构,精装,三梯七户,有,2022,7,1.0
